('you', array([[ 0.97045196,  0.02954804]]))
('conspiracy', array([[ 0.25249029,  0.74750971]]))
('boobs', array([[ 0.25226848,  0.74773152]]))
('fuckin', array([[ 0.25171985,  0.74828015]]))
('real', array([[ 0.25142799,  0.74857201]]))
('salute', array([[ 0.25111151,  0.74888849]]))
('bother', array([[ 0.25069109,  0.74930891]]))
('piece', array([[ 0.2505939,  0.7494061]]))
('admin', array([[ 0.25052509,  0.74947491]]))
('especially', array([[ 0.25043555,  0.74956445]]))
('jim', array([[ 0.25040527,  0.74959473]]))
('proud', array([[ 0.24698741,  0.75301259]]))
('hand', array([[ 0.24646929,  0.75353071]]))
('got', array([[ 0.24594847,  0.75405153]]))
('faith', array([[ 0.24545092,  0.75454908]]))
('york', array([[ 0.24517758,  0.75482242]]))
('vandalism', array([[ 0.24455945,  0.75544055]]))
('they', array([[ 0.24334395,  0.75665605]]))
('sexual', array([[ 0.24331649,  0.75668351]]))
('internet', array([[ 0.24288823,  0.75711177]]))
('anti', array([[ 0.24223538,  0.75776462]]))
('too', array([[ 0.24168692,  0.75831308]]))
('dont', array([[ 0.24107418,  0.75892582]]))
('big', array([[ 0.240762,  0.759238]]))
('power', array([[ 0.24055973,  0.75944027]]))
('respect', array([[ 0.24024207,  0.75975793]]))
('lover', array([[ 0.23974856,  0.76025144]]))
('communist', array([[ 0.23931572,  0.76068428]]))
('little', array([[ 0.23902832,  0.76097168]]))
('idiotic', array([[ 0.2387897,  0.7612103]]))
('moron', array([[ 0.23878863,  0.76121137]]))
('medical', array([[ 0.23827514,  0.76172486]]))
('neo', array([[ 0.23783116,  0.76216884]]))
('latinus', array([[ 0.23767899,  0.76232101]]))
('away', array([[ 0.23734496,  0.76265504]]))
('terrorism', array([[ 0.23701075,  0.76298925]]))
('pushing', array([[ 0.23671602,  0.76328398]]))
('self', array([[ 0.23660545,  0.76339455]]))
('kid', array([[ 0.23634447,  0.76365553]]))
('atheist', array([[ 0.23608763,  0.76391237]]))
('wonder', array([[ 0.23556297,  0.76443703]]))
('deal', array([[ 0.23547954,  0.76452046]]))
('russian', array([[ 0.23490779,  0.76509221]]))
('rights', array([[ 0.23426516,  0.76573484]]))
('kind', array([[ 0.23352535,  0.76647465]]))
('gets', array([[ 0.23339913,  0.76660087]]))
('everything', array([[ 0.23315453,  0.76684547]]))
('californiadreamlings', array([[ 0.2330786,  0.7669214]]))
('playing', array([[ 0.23176623,  0.76823377]]))
('disease', array([[ 0.23077882,  0.76922118]]))
('report', array([[ 0.23027303,  0.76972697]]))
('stuck', array([[ 0.22958642,  0.77041358]]))
('oh', array([[ 0.22945958,  0.77054042]]))
('dog', array([[ 0.22910518,  0.77089482]]))
('sit', array([[ 0.22856844,  0.77143156]]))
('yu', array([[ 0.2285338,  0.7714662]]))
('alone', array([[ 0.22819445,  0.77180555]]))
('mathematics', array([[ 0.22774639,  0.77225361]]))
('want', array([[ 0.22758209,  0.77241791]]))
('won', array([[ 0.22745086,  0.77254914]]))
('children', array([[ 0.22735933,  0.77264067]]))
('homosexuality', array([[ 0.22726638,  0.77273362]]))
('nonsense', array([[ 0.2270917,  0.7729083]]))
('own', array([[ 0.22686292,  0.77313708]]))
('dare', array([[ 0.22681847,  0.77318153]]))
('just', array([[ 0.22669116,  0.77330884]]))
('still', array([[ 0.22668135,  0.77331865]]))
('forever', array([[ 0.22627896,  0.77372104]]))
('spam', array([[ 0.22511871,  0.77488129]]))
('aren', array([[ 0.22504187,  0.77495813]]))
('place', array([[ 0.22469413,  0.77530587]]))
('knows', array([[ 0.22465983,  0.77534017]]))
('logical', array([[ 0.22427916,  0.77572084]]))
('yuber', array([[ 0.22404185,  0.77595815]]))
('size', array([[ 0.22390481,  0.77609519]]))
('accuse', array([[ 0.22328569,  0.77671431]]))
('everyone', array([[ 0.22275754,  0.77724246]]))
('hole', array([[ 0.22188573,  0.77811427]]))
('vandalize', array([[ 0.22180415,  0.77819585]]))
('dude', array([[ 0.2216351,  0.7783649]]))
('squeakbox', array([[ 0.22138547,  0.77861453]]))
('dies', array([[ 0.22125511,  0.77874489]]))
('opinion', array([[ 0.22122078,  0.77877922]]))
('whats', array([[ 0.22096633,  0.77903367]]))
('world', array([[ 0.22077837,  0.77922163]]))
('child', array([[ 0.22076589,  0.77923411]]))
('no', array([[ 0.22065419,  0.77934581]]))
('wipe', array([[ 0.22058424,  0.77941576]]))
('sick', array([[ 0.22053938,  0.77946062]]))
('abuse', array([[ 0.22046645,  0.77953355]]))
('kids', array([[ 0.22043257,  0.77956743]]))
('motherfucker', array([[ 0.22031709,  0.77968291]]))
('behaviour', array([[ 0.22016324,  0.77983676]]))
('face', array([[ 0.22000897,  0.77999103]]))
('response', array([[ 0.21974682,  0.78025318]]))
('sourced', array([[ 0.21966421,  0.78033579]]))
('woman', array([[ 0.21920383,  0.78079617]]))
('old', array([[ 0.2190221,  0.7809779]]))
('typical', array([[ 0.21894365,  0.78105635]]))
('republican', array([[ 0.21891216,  0.78108784]]))
('la', array([[ 0.21886251,  0.78113749]]))
('mum', array([[ 0.21837467,  0.78162533]]))
('dreamguy', array([[ 0.21728899,  0.78271101]]))
('anything', array([[ 0.21717127,  0.78282873]]))
('attacks', array([[ 0.21710207,  0.78289793]]))
('fellow', array([[ 0.21700934,  0.78299066]]))
('imageshack', array([[ 0.21696895,  0.78303105]]))
('fight', array([[ 0.21623785,  0.78376215]]))
('bigger', array([[ 0.21610642,  0.78389358]]))
('disruptive', array([[ 0.21579797,  0.78420203]]))
('hating', array([[ 0.21555377,  0.78444623]]))
('every', array([[ 0.21549619,  0.78450381]]))
('threatening', array([[ 0.2147752,  0.7852248]]))
('individuals', array([[ 0.21442126,  0.78557874]]))
('white', array([[ 0.2143265,  0.7856735]]))
('impossible', array([[ 0.2137353,  0.7862647]]))
('many', array([[ 0.21359873,  0.78640127]]))
('foolish', array([[ 0.21348426,  0.78651574]]))
('vandalise', array([[ 0.21326924,  0.78673076]]))
('call', array([[ 0.21294901,  0.78705099]]))
('superior', array([[ 0.21292764,  0.78707236]]))
('ps', array([[ 0.212638,  0.787362]]))
('comes', array([[ 0.21214363,  0.78785637]]))
('attacked', array([[ 0.21154802,  0.78845198]]))
('killed', array([[ 0.2115036,  0.7884964]]))
('tries', array([[ 0.21149226,  0.78850774]]))
('rule', array([[ 0.21136101,  0.78863899]]))
('facts', array([[ 0.21100794,  0.78899206]]))
('matter', array([[ 0.21060049,  0.78939951]]))
('forced', array([[ 0.21049404,  0.78950596]]))
('greeks', array([[ 0.21001789,  0.78998211]]))
('regularly', array([[ 0.20980411,  0.79019589]]))
('rid', array([[ 0.20965048,  0.79034952]]))
('horrible', array([[ 0.20918156,  0.79081844]]))
('da', array([[ 0.2091601,  0.7908399]]))
('than', array([[ 0.208921,  0.791079]]))
('bsf', array([[ 0.20874778,  0.79125222]]))
('fast', array([[ 0.20825511,  0.79174489]]))
('girl', array([[ 0.20818783,  0.79181217]]))
('leave', array([[ 0.20809829,  0.79190171]]))
('minorities', array([[ 0.20777489,  0.79222511]]))
('eh', array([[ 0.20760736,  0.79239264]]))
('img90', array([[ 0.20730032,  0.79269968]]))
('male', array([[ 0.20715459,  0.79284541]]))
('beckjord', array([[ 0.20712789,  0.79287211]]))
('band', array([[ 0.20657091,  0.79342909]]))
('insulting', array([[ 0.20628641,  0.79371359]]))
('1996', array([[ 0.20596219,  0.79403781]]))
('allowed', array([[ 0.20585068,  0.79414932]]))
('deleting', array([[ 0.20578996,  0.79421004]]))
('over', array([[ 0.2057245,  0.7942755]]))
('cherokee', array([[ 0.20568459,  0.79431541]]))
('certain', array([[ 0.20560923,  0.79439077]]))
('corrupt', array([[ 0.20552779,  0.79447221]]))
('vicious', array([[ 0.20546506,  0.79453494]]))
('blocks', array([[ 0.20537772,  0.79462228]]))
('poles', array([[ 0.20528188,  0.79471812]]))
('laden', array([[ 0.20513754,  0.79486246]]))
('refuse', array([[ 0.20509633,  0.79490367]]))
('their', array([[ 0.20499122,  0.79500878]]))
('told', array([[ 0.20474453,  0.79525547]]))
('saddam', array([[ 0.20429961,  0.79570039]]))
('simply', array([[ 0.2042919,  0.7957081]]))
('right', array([[ 0.20426934,  0.79573066]]))
('gmc', array([[ 0.20398306,  0.79601694]]))
('teh', array([[ 0.20366318,  0.79633682]]))
('am', array([[ 0.20360866,  0.79639134]]))
('cut', array([[ 0.20356182,  0.79643818]]))
('talking', array([[ 0.20337335,  0.79662665]]))
('immature', array([[ 0.20330007,  0.79669993]]))
('mercy', array([[ 0.20327303,  0.79672697]]))
('then', array([[ 0.20327022,  0.79672978]]))
('nazis', array([[ 0.20321604,  0.79678396]]))
('virgin', array([[ 0.20307553,  0.79692447]]))
('pakis', array([[ 0.20298264,  0.79701736]]))
('represented', array([[ 0.20284736,  0.79715264]]))
('absolutely', array([[ 0.20241497,  0.79758503]]))
('fact', array([[ 0.20238847,  0.79761153]]))
('jayjg', array([[ 0.20234717,  0.79765283]]))
('replacing', array([[ 0.20230577,  0.79769423]]))
('uncivil', array([[ 0.20150869,  0.79849131]]))
('protected', array([[ 0.20139503,  0.79860497]]))
('intelligent', array([[ 0.20117354,  0.79882646]]))
('solana', array([[ 0.20097394,  0.79902606]]))
('removing', array([[ 0.20090953,  0.79909047]]))
('intentionally', array([[ 0.20075581,  0.79924419]]))
('minded', array([[ 0.20061622,  0.79938378]]))
('bin', array([[ 0.20044743,  0.79955257]]))
('engaging', array([[ 0.20041834,  0.79958166]]))
('jew', array([[ 0.20038426,  0.79961574]]))
('remove', array([[ 0.20003966,  0.79996034]]))
('liked', array([[ 0.19992553,  0.80007447]]))
('skills', array([[ 0.19969472,  0.80030528]]))
('tau', array([[ 0.1994775,  0.8005225]]))
('trying', array([[ 0.19933703,  0.80066297]]))
('ignorance', array([[ 0.19920011,  0.80079989]]))
('worthless', array([[ 0.19901568,  0.80098432]]))
('truth', array([[ 0.19899912,  0.80100088]]))
('punk', array([[ 0.19890364,  0.80109636]]))
('victims', array([[ 0.19878281,  0.80121719]]))
('ten', array([[ 0.19870894,  0.80129106]]))
('california', array([[ 0.19861496,  0.80138504]]))
('true', array([[ 0.19823482,  0.80176518]]))
('dominick', array([[ 0.19803825,  0.80196175]]))
('propaganda', array([[ 0.19790238,  0.80209762]]))
('hasn', array([[ 0.19788806,  0.80211194]]))
('giving', array([[ 0.19758137,  0.80241863]]))
('claims', array([[ 0.19757503,  0.80242497]]))
('huge', array([[ 0.19747721,  0.80252279]]))
('er', array([[ 0.19683096,  0.80316904]]))
('boy', array([[ 0.19682936,  0.80317064]]))
('frustrated', array([[ 0.19675396,  0.80324604]]))
('blogs', array([[ 0.19674548,  0.80325452]]))
('career', array([[ 0.19614636,  0.80385364]]))
('putting', array([[ 0.19591872,  0.80408128]]))
('political', array([[ 0.19541651,  0.80458349]]))
('ignoring', array([[ 0.19532927,  0.80467073]]))
('blood', array([[ 0.19531681,  0.80468319]]))
('even', array([[ 0.19529755,  0.80470245]]))
('gastrich', array([[ 0.19524571,  0.80475429]]))
('kerry', array([[ 0.19521393,  0.80478607]]))
('project', array([[ 0.19518878,  0.80481122]]))
('accusing', array([[ 0.19512918,  0.80487082]]))
('tax', array([[ 0.1947834,  0.8052166]]))
('objective', array([[ 0.19471037,  0.80528963]]))
('times', array([[ 0.19456373,  0.80543627]]))
('cause', array([[ 0.19455464,  0.80544536]]))
('reports', array([[ 0.19454218,  0.80545782]]))
('errors', array([[ 0.19449049,  0.80550951]]))
('dealing', array([[ 0.19447302,  0.80552698]]))
('minute', array([[ 0.19415759,  0.80584241]]))
('nationalist', array([[ 0.19413954,  0.80586046]]))
('rejected', array([[ 0.19409765,  0.80590235]]))
('kick', array([[ 0.19401286,  0.80598714]]))
('jewish', array([[ 0.19398928,  0.80601072]]))
('defending', array([[ 0.19343789,  0.80656211]]))
('nikko', array([[ 0.19341778,  0.80658222]]))
('color', array([[ 0.19325929,  0.80674071]]))
('thats', array([[ 0.19318256,  0.80681744]]))
('bigfoot', array([[ 0.19301454,  0.80698546]]))
('agenda', array([[ 0.19297835,  0.80702165]]))
('block', array([[ 0.19296693,  0.80703307]]))
('lord', array([[ 0.19293095,  0.80706905]]))
('bullying', array([[ 0.19262981,  0.80737019]]))
('jokes', array([[ 0.19250803,  0.80749197]]))
('obsessed', array([[ 0.19235984,  0.80764016]]))
('hack', array([[ 0.19234908,  0.80765092]]))
('drive', array([[ 0.19210581,  0.80789419]]))
('holy', array([[ 0.19162682,  0.80837318]]))
('stormie', array([[ 0.19147752,  0.80852248]]))
('gross', array([[ 0.1912821,  0.8087179]]))
('brother', array([[ 0.19109892,  0.80890108]]))
('harass', array([[ 0.19107233,  0.80892767]]))
('ie', array([[ 0.19106634,  0.80893366]]))
('mouth', array([[ 0.19106085,  0.80893915]]))
('insists', array([[ 0.19105652,  0.80894348]]))
('wasting', array([[ 0.19102827,  0.80897173]]))
('makes', array([[ 0.19101747,  0.80898253]]))
('imho', array([[ 0.19087886,  0.80912114]]))
('unblock', array([[ 0.19080129,  0.80919871]]))
('lib', array([[ 0.19073628,  0.80926372]]))
('head', array([[ 0.19045642,  0.80954358]]))
('tell', array([[ 0.19032688,  0.80967312]]))
('clearly', array([[ 0.19030932,  0.80969068]]))
('stalking', array([[ 0.19002102,  0.80997898]]))
('behavior', array([[ 0.19001267,  0.80998733]]))
('him', array([[ 0.18993025,  0.81006975]]))
('can', array([[ 0.18970508,  0.81029492]]))
('gotten', array([[ 0.18956078,  0.81043922]]))
('time', array([[ 0.18926501,  0.81073499]]))
('seeking', array([[ 0.18908521,  0.81091479]]))
('mistakes', array([[ 0.18890864,  0.81109136]]))
('team', array([[ 0.18884341,  0.81115659]]))
('seriously', array([[ 0.18883389,  0.81116611]]))
('scientist', array([[ 0.18877923,  0.81122077]]))
('cover', array([[ 0.18875892,  0.81124108]]))
('through', array([[ 0.18875059,  0.81124941]]))
('committed', array([[ 0.18871599,  0.81128401]]))
('biggest', array([[ 0.18870798,  0.81129202]]))
('full', array([[ 0.18864556,  0.81135444]]))
('james', array([[ 0.18838711,  0.81161289]]))
('known', array([[ 0.18829446,  0.81170554]]))
('always', array([[ 0.18826223,  0.81173777]]))
('ignores', array([[ 0.18815539,  0.81184461]]))
('some', array([[ 0.18807968,  0.81192032]]))
('ashamed', array([[ 0.18784841,  0.81215159]]))
('mr', array([[ 0.18777973,  0.81222027]]))
('gone', array([[ 0.18774535,  0.81225465]]))
('bias', array([[ 0.1876926,  0.8123074]]))
('gene', array([[ 0.18765448,  0.81234552]]))
('socialism', array([[ 0.1875983,  0.8124017]]))
('intellectual', array([[ 0.1875479,  0.8124521]]))
('planet', array([[ 0.18748721,  0.81251279]]))
('turks', array([[ 0.1873538,  0.8126462]]))
('dubya', array([[ 0.18734737,  0.81265263]]))
('qiyamah', array([[ 0.1872942,  0.8127058]]))
('censor', array([[ 0.18720886,  0.81279114]]))
('21', array([[ 0.18707966,  0.81292034]]))
('okay', array([[ 0.18676116,  0.81323884]]))
('numerous', array([[ 0.18671562,  0.81328438]]))
('humanity', array([[ 0.18670133,  0.81329867]]))
('fire', array([[ 0.18666871,  0.81333129]]))
('channel', array([[ 0.18666779,  0.81333221]]))
('enough', array([[ 0.18665657,  0.81334343]]))
('worse', array([[ 0.18647508,  0.81352492]]))
('minister', array([[ 0.1864254,  0.8135746]]))
('34', array([[ 0.18642502,  0.81357498]]))
('rude', array([[ 0.18642099,  0.81357901]]))
('tone', array([[ 0.18631787,  0.81368213]]))
('touch', array([[ 0.18611841,  0.81388159]]))
('quote', array([[ 0.18599104,  0.81400896]]))
('ben', array([[ 0.18596534,  0.81403466]]))
('n00b', array([[ 0.1858794,  0.8141206]]))
('muslims', array([[ 0.18587214,  0.81412786]]))
('wrong', array([[ 0.18574704,  0.81425296]]))
('happen', array([[ 0.18570128,  0.81429872]]))
('bit', array([[ 0.18561265,  0.81438735]]))
('joke', array([[ 0.18559443,  0.81440557]]))
('behind', array([[ 0.18555061,  0.81444939]]))
('cry', array([[ 0.18549859,  0.81450141]]))
('works', array([[ 0.18539135,  0.81460865]]))
('puppet', array([[ 0.18514633,  0.81485367]]))
('police', array([[ 0.18445721,  0.81554279]]))
('accept', array([[ 0.1843836,  0.8156164]]))
('solve', array([[ 0.18436878,  0.81563122]]))
('standards', array([[ 0.1843295,  0.8156705]]))
('polish', array([[ 0.1843029,  0.8156971]]))
('heck', array([[ 0.1842322,  0.8157678]]))
('race', array([[ 0.18422221,  0.81577779]]))
('thousands', array([[ 0.18415044,  0.81584956]]))
('fighting', array([[ 0.18400935,  0.81599065]]))
('criminal', array([[ 0.1839927,  0.8160073]]))
('czech', array([[ 0.18394091,  0.81605909]]))
('hard', array([[ 0.18385224,  0.81614776]]))
('problem', array([[ 0.18373308,  0.81626692]]))
('yo', array([[ 0.18357125,  0.81642875]]))
('administrators', array([[ 0.1834638,  0.8165362]]))
('ips', array([[ 0.18345019,  0.81654981]]))
('saudi', array([[ 0.18330731,  0.81669269]]))
('quick', array([[ 0.18326553,  0.81673447]]))
('ever', array([[ 0.18307857,  0.81692143]]))
('photograph', array([[ 0.18291303,  0.81708697]]))
('attempting', array([[ 0.18287036,  0.81712964]]))
('sad', array([[ 0.18277141,  0.81722859]]))
('hindu', array([[ 0.1826746,  0.8173254]]))
('fraud', array([[ 0.18264096,  0.81735904]]))
('out', array([[ 0.18242211,  0.81757789]]))
('ran', array([[ 0.18238782,  0.81761218]]))
('look', array([[ 0.18234052,  0.81765948]]))
('garbage', array([[ 0.18217974,  0.81782026]]))
('elected', array([[ 0.18214299,  0.81785701]]))
('kim', array([[ 0.18205513,  0.81794487]]))
('beyond', array([[ 0.18203278,  0.81796722]]))
('everybody', array([[ 0.18201768,  0.81798232]]))
('jump', array([[ 0.1819176,  0.8180824]]))
('socialist', array([[ 0.18182311,  0.81817689]]))
('killing', array([[ 0.18177564,  0.81822436]]))
('divine', array([[ 0.18158322,  0.81841678]]))
('streets', array([[ 0.18155809,  0.81844191]]))
('criticisms', array([[ 0.18143932,  0.81856068]]))
('prominent', array([[ 0.18137105,  0.81862895]]))
('fart', array([[ 0.18114433,  0.81885567]]))
('spelling', array([[ 0.18091071,  0.81908929]]))
('again', array([[ 0.1808368,  0.8191632]]))
('beneficial', array([[ 0.18076363,  0.81923637]]))
('anonymous', array([[ 0.18065655,  0.81934345]]))
('alright', array([[ 0.18064936,  0.81935064]]))
('send', array([[ 0.18035889,  0.81964111]]))
('se', array([[ 0.18019876,  0.81980124]]))
('forget', array([[ 0.18018491,  0.81981509]]))
('trolls', array([[ 0.18010965,  0.81989035]]))
('greek', array([[ 0.18010116,  0.81989884]]))
('pedophile', array([[ 0.1800862,  0.8199138]]))
('commentary', array([[ 0.18001996,  0.81998004]]))
('year', array([[ 0.18000803,  0.81999197]]))
('rome', array([[ 0.1799544,  0.8200456]]))
('views', array([[ 0.17985894,  0.82014106]]))
('control', array([[ 0.17983284,  0.82016716]]))
('cant', array([[ 0.17978131,  0.82021869]]))
('architecture', array([[ 0.17970795,  0.82029205]]))
('democratic', array([[ 0.17961442,  0.82038558]]))
('turk', array([[ 0.17951491,  0.82048509]]))
('david', array([[ 0.17945922,  0.82054078]]))
('house', array([[ 0.17936208,  0.82063792]]))
('dirty', array([[ 0.17927594,  0.82072406]]))
('age', array([[ 0.17917633,  0.82082367]]))
('popper', array([[ 0.17915496,  0.82084504]]))
('dear', array([[ 0.17913087,  0.82086913]]))
('refuted', array([[ 0.1790108,  0.8209892]]))
('changed', array([[ 0.17900483,  0.82099517]]))
('flap', array([[ 0.17893548,  0.82106452]]))
('falsely', array([[ 0.17893413,  0.82106587]]))
('publication', array([[ 0.17891982,  0.82108018]]))
('female', array([[ 0.17890586,  0.82109414]]))
('holocaust', array([[ 0.17879436,  0.82120564]]))
('men', array([[ 0.17873227,  0.82126773]]))
('bloody', array([[ 0.17870528,  0.82129472]]))
('camps', array([[ 0.17857873,  0.82142127]]))
('slander', array([[ 0.17854179,  0.82145821]]))
('jesus', array([[ 0.17852445,  0.82147555]]))
('racism', array([[ 0.1783624,  0.8216376]]))
('kdbuffalo', array([[ 0.17831855,  0.82168145]]))
('warring', array([[ 0.1780572,  0.8219428]]))
