('thank', array([[ 0.99522839,  0.00477161]]))
('error', array([[ 0.97476279,  0.02523721]]))
('never', array([[ 0.97475873,  0.02524127]]))
('case', array([[ 0.97471981,  0.02528019]]))
('editors', array([[ 0.97467551,  0.02532449]]))
('2010', array([[ 0.97456625,  0.02543375]]))
('apology', array([[ 0.97443027,  0.02556973]]))
('company', array([[ 0.9743741,  0.0256259]]))
('support', array([[ 0.97433751,  0.02566249]]))
('fighting', array([[ 0.97427642,  0.02572358]]))
('appreciate', array([[ 0.97423076,  0.02576924]]))
('mention', array([[ 0.97416617,  0.02583383]]))
('happened', array([[ 0.97414904,  0.02585096]]))
('seems', array([[ 0.97412656,  0.02587344]]))
('listed', array([[ 0.97403406,  0.02596594]]))
('believe', array([[ 0.97401569,  0.02598431]]))
('accurate', array([[ 0.9738211,  0.0261789]]))
('french', array([[ 0.97377846,  0.02622154]]))
('reaction', array([[ 0.97376527,  0.02623473]]))
('class', array([[ 0.97373145,  0.02626855]]))
('match', array([[ 0.97361779,  0.02638221]]))
('correct', array([[ 0.9736165,  0.0263835]]))
('later', array([[ 0.97355104,  0.02644896]]))
('looked', array([[ 0.97354983,  0.02645017]]))
('paper', array([[ 0.97353801,  0.02646199]]))
('known', array([[ 0.97351571,  0.02648429]]))
('22', array([[ 0.97343543,  0.02656457]]))
('decision', array([[ 0.9734331,  0.0265669]]))
('violating', array([[ 0.97339941,  0.02660059]]))
('popular', array([[ 0.97335446,  0.02664554]]))
('included', array([[ 0.97334097,  0.02665903]]))
('similar', array([[ 0.97325521,  0.02674479]]))
('certain', array([[ 0.97315001,  0.02684999]]))
('know', array([[ 0.97314725,  0.02685275]]))
('page', array([[ 0.97311279,  0.02688721]]))
('named', array([[ 0.9731117,  0.0268883]]))
('considered', array([[ 0.9730301,  0.0269699]]))
('checked', array([[ 0.97300374,  0.02699626]]))
('account', array([[ 0.97299644,  0.02700356]]))
('military', array([[ 0.97291995,  0.02708005]]))
('ii', array([[ 0.97290763,  0.02709237]]))
('avoid', array([[ 0.97289522,  0.02710478]]))
('keep', array([[ 0.97287355,  0.02712645]]))
('photos', array([[ 0.97286996,  0.02713004]]))
('30', array([[ 0.97285669,  0.02714331]]))
('bbc', array([[ 0.97285524,  0.02714476]]))
('discussed', array([[ 0.9727979,  0.0272021]]))
('otherwise', array([[ 0.97278641,  0.02721359]]))
('saying', array([[ 0.97275815,  0.02724185]]))
('picture', array([[ 0.97257878,  0.02742122]]))
('books', array([[ 0.97257164,  0.02742836]]))
('various', array([[ 0.97248748,  0.02751252]]))
('science', array([[ 0.97247095,  0.02752905]]))
('join', array([[ 0.97242117,  0.02757883]]))
('currently', array([[ 0.97237175,  0.02762825]]))
('semi', array([[ 0.97228925,  0.02771075]]))
('result', array([[ 0.97228179,  0.02771821]]))
('19', array([[ 0.9722471,  0.0277529]]))
('think', array([[ 0.97223842,  0.02776158]]))
('taking', array([[ 0.97222549,  0.02777451]]))
('bit', array([[ 0.97222529,  0.02777471]]))
('sports', array([[ 0.97222174,  0.02777826]]))
('advice', array([[ 0.97221643,  0.02778357]]))
('pov', array([[ 0.9722072,  0.0277928]]))
('rock', array([[ 0.972192,  0.027808]]))
('season', array([[ 0.97218421,  0.02781579]]))
('spin', array([[ 0.97217877,  0.02782123]]))
('always', array([[ 0.97216288,  0.02783712]]))
('english', array([[ 0.97216166,  0.02783834]]))
('notes', array([[ 0.97208822,  0.02791178]]))
('whether', array([[ 0.97206803,  0.02793197]]))
('improve', array([[ 0.97200042,  0.02799958]]))
('contact', array([[ 0.97194075,  0.02805925]]))
('walk', array([[ 0.97189001,  0.02810999]]))
('short', array([[ 0.97187119,  0.02812881]]))
('until', array([[ 0.97179891,  0.02820109]]))
('can', array([[ 0.97176529,  0.02823471]]))
('christian', array([[ 0.97175983,  0.02824017]]))
('isn', array([[ 0.97172005,  0.02827995]]))
('de', array([[ 0.97170979,  0.02829021]]))
('reverted', array([[ 0.97165766,  0.02834234]]))
('active', array([[ 0.9716523,  0.0283477]]))
('although', array([[ 0.97164717,  0.02835283]]))
('15', array([[ 0.97164266,  0.02835734]]))
('apologies', array([[ 0.9716394,  0.0283606]]))
('multiple', array([[ 0.97161288,  0.02838712]]))
('conflict', array([[ 0.97159379,  0.02840621]]))
('posting', array([[ 0.97158949,  0.02841051]]))
('anybody', array([[ 0.97157551,  0.02842449]]))
('lead', array([[ 0.97154739,  0.02845261]]))
('published', array([[ 0.97149324,  0.02850676]]))
('while', array([[ 0.97144106,  0.02855894]]))
('infobox', array([[ 0.97138228,  0.02861772]]))
('suggesting', array([[ 0.97130788,  0.02869212]]))
('specific', array([[ 0.97126545,  0.02873455]]))
('usage', array([[ 0.97125356,  0.02874644]]))
('things', array([[ 0.97120795,  0.02879205]]))
('should', array([[ 0.97116138,  0.02883862]]))
('description', array([[ 0.97115918,  0.02884082]]))
('when', array([[ 0.97115055,  0.02884945]]))
('numbers', array([[ 0.97110909,  0.02889091]]))
('unless', array([[ 0.97110805,  0.02889195]]))
('views', array([[ 0.97108904,  0.02891096]]))
('rights', array([[ 0.97104405,  0.02895595]]))
('romanian', array([[ 0.97104032,  0.02895968]]))
('mediation', array([[ 0.97103782,  0.02896218]]))
('notice', array([[ 0.97101843,  0.02898157]]))
('confused', array([[ 0.97100521,  0.02899479]]))
('suggestions', array([[ 0.97100106,  0.02899894]]))
('music', array([[ 0.97098654,  0.02901346]]))
('most', array([[ 0.97097416,  0.02902584]]))
('third', array([[ 0.97094805,  0.02905195]]))
('dogs', array([[ 0.9709414,  0.0290586]]))
('changed', array([[ 0.9709284,  0.0290716]]))
('undo', array([[ 0.97077672,  0.02922328]]))
('org', array([[ 0.97075705,  0.02924295]]))
('31', array([[ 0.97074202,  0.02925798]]))
('war', array([[ 0.97072557,  0.02927443]]))
('four', array([[ 0.97067753,  0.02932247]]))
('protect', array([[ 0.97065136,  0.02934864]]))
('fox', array([[ 0.97063001,  0.02936999]]))
('appeared', array([[ 0.97061521,  0.02938479]]))
('non', array([[ 0.97059821,  0.02940179]]))
('com', array([[ 0.97056134,  0.02943866]]))
('we', array([[ 0.97052038,  0.02947962]]))
('verify', array([[ 0.970462,  0.029538]]))
('wondering', array([[ 0.97044833,  0.02955167]]))
('serious', array([[ 0.97044656,  0.02955344]]))
('understand', array([[ 0.97042759,  0.02957241]]))
('neither', array([[ 0.97039707,  0.02960293]]))
('seeing', array([[ 0.97036918,  0.02963082]]))
('easier', array([[ 0.97033506,  0.02966494]]))
('love', array([[ 0.97030139,  0.02969861]]))
('movement', array([[ 0.97025832,  0.02974168]]))
('political', array([[ 0.97021676,  0.02978324]]))
('found', array([[ 0.97019075,  0.02980925]]))
('form', array([[ 0.9701875,  0.0298125]]))
('reputation', array([[ 0.97017485,  0.02982515]]))
('luck', array([[ 0.97013325,  0.02986675]]))
('consensus', array([[ 0.9700665,  0.0299335]]))
('move', array([[ 0.97005026,  0.02994974]]))
('learned', array([[ 0.97003789,  0.02996211]]))
('rfa', array([[ 0.97002725,  0.02997275]]))
('before', array([[ 0.97001976,  0.02998024]]))
('modern', array([[ 0.96999767,  0.03000233]]))
('longer', array([[ 0.96998096,  0.03001904]]))
('where', array([[ 0.96997769,  0.03002231]]))
('value', array([[ 0.9699538,  0.0300462]]))
('exist', array([[ 0.96992387,  0.03007613]]))
('return', array([[ 0.96984808,  0.03015192]]))
('bio', array([[ 0.96984804,  0.03015196]]))
('sign', array([[ 0.96983923,  0.03016077]]))
('research', array([[ 0.96977672,  0.03022328]]))
('ga', array([[ 0.96973848,  0.03026152]]))
('knows', array([[ 0.96970566,  0.03029434]]))
('nationality', array([[ 0.96970176,  0.03029824]]))
('background', array([[ 0.96969396,  0.03030604]]))
('disambiguation', array([[ 0.96966901,  0.03033099]]))
('23', array([[ 0.96963397,  0.03036603]]))
('highly', array([[ 0.96963192,  0.03036808]]))
('works', array([[ 0.96962281,  0.03037719]]))
('articles', array([[ 0.96962266,  0.03037734]]))
('knowledge', array([[ 0.96960582,  0.03039418]]))
('plus', array([[ 0.96959108,  0.03040892]]))
('movie', array([[ 0.96957765,  0.03042235]]))
('did', array([[ 0.96955687,  0.03044313]]))
('supposed', array([[ 0.96955147,  0.03044853]]))
('nominated', array([[ 0.96953691,  0.03046309]]))
('genre', array([[ 0.96952661,  0.03047339]]))
('counter', array([[ 0.96951371,  0.03048629]]))
('shared', array([[ 0.96944846,  0.03055154]]))
('propose', array([[ 0.96943756,  0.03056244]]))
('empire', array([[ 0.96941404,  0.03058596]]))
('note', array([[ 0.96940949,  0.03059051]]))
('quality', array([[ 0.96939243,  0.03060757]]))
('somebody', array([[ 0.96939001,  0.03060999]]))
('interesting', array([[ 0.96938082,  0.03061918]]))
('agreed', array([[ 0.96937925,  0.03062075]]))
('received', array([[ 0.96936349,  0.03063651]]))
('heart', array([[ 0.96935852,  0.03064148]]))
('something', array([[ 0.96935408,  0.03064592]]))
('promoting', array([[ 0.96931234,  0.03068766]]))
('treated', array([[ 0.96929362,  0.03070638]]))
('sounds', array([[ 0.96923207,  0.03076793]]))
('sections', array([[ 0.96922292,  0.03077708]]))
('accept', array([[ 0.96919706,  0.03080294]]))
('line', array([[ 0.96916793,  0.03083207]]))
('hits', array([[ 0.96914919,  0.03085081]]))
('police', array([[ 0.96913165,  0.03086835]]))
('september', array([[ 0.96910472,  0.03089528]]))
('copyright', array([[ 0.96906734,  0.03093266]]))
('february', array([[ 0.96904746,  0.03095254]]))
('unsourced', array([[ 0.96902981,  0.03097019]]))
('ignoring', array([[ 0.96899384,  0.03100616]]))
('admit', array([[ 0.96898996,  0.03101004]]))
('72', array([[ 0.96897049,  0.03102951]]))
('citations', array([[ 0.96896861,  0.03103139]]))
('portuguese', array([[ 0.96893171,  0.03106829]]))
('jpg', array([[ 0.96892901,  0.03107099]]))
('confirmed', array([[ 0.96889577,  0.03110423]]))
('well', array([[ 0.96889168,  0.03110832]]))
('conservative', array([[ 0.96889116,  0.03110884]]))
('log', array([[ 0.96889098,  0.03110902]]))
('trouble', array([[ 0.96886528,  0.03113472]]))
('online', array([[ 0.9688301,  0.0311699]]))
('results', array([[ 0.96882758,  0.03117242]]))
('anonymous', array([[ 0.96876959,  0.03123041]]))
('split', array([[ 0.96875732,  0.03124268]]))
('need', array([[ 0.96875566,  0.03124434]]))
('cities', array([[ 0.96866511,  0.03133489]]))
('hopefully', array([[ 0.96857631,  0.03142369]]))
('really', array([[ 0.96856301,  0.03143699]]))
('college', array([[ 0.96855581,  0.03144419]]))
('pretty', array([[ 0.96854488,  0.03145512]]))
('few', array([[ 0.9685273,  0.0314727]]))
('signed', array([[ 0.96851418,  0.03148582]]))
('unfair', array([[ 0.9684694,  0.0315306]]))
('input', array([[ 0.96846291,  0.03153709]]))
('fans', array([[ 0.96844101,  0.03155899]]))
('uses', array([[ 0.96839217,  0.03160783]]))
('years', array([[ 0.9683848,  0.0316152]]))
('contributions', array([[ 0.96837224,  0.03162776]]))
('sometimes', array([[ 0.96836431,  0.03163569]]))
('campaign', array([[ 0.96835445,  0.03164555]]))
('restore', array([[ 0.96830268,  0.03169732]]))
('according', array([[ 0.96828678,  0.03171322]]))
('or', array([[ 0.96827762,  0.03172238]]))
('above', array([[ 0.96826367,  0.03173633]]))
('say', array([[ 0.96826183,  0.03173817]]))
('somewhat', array([[ 0.96825668,  0.03174332]]))
('personally', array([[ 0.96824069,  0.03175931]]))
('scholars', array([[ 0.96822874,  0.03177126]]))
('2013', array([[ 0.96822193,  0.03177807]]))
('forgotten', array([[ 0.96821138,  0.03178862]]))
('reports', array([[ 0.96814301,  0.03185699]]))
('comments', array([[ 0.96812039,  0.03187961]]))
('missing', array([[ 0.9681102,  0.0318898]]))
('recall', array([[ 0.96809459,  0.03190541]]))
('philosophy', array([[ 0.9680924,  0.0319076]]))
('titles', array([[ 0.96807847,  0.03192153]]))
('thus', array([[ 0.9680662,  0.0319338]]))
('yahoo', array([[ 0.96805038,  0.03194962]]))
('nor', array([[ 0.96804822,  0.03195178]]))
('assumptions', array([[ 0.96802791,  0.03197209]]))
('turned', array([[ 0.96802168,  0.03197832]]))
('importance', array([[ 0.96798263,  0.03201737]]))
('permission', array([[ 0.96797647,  0.03202353]]))
('quite', array([[ 0.9679676,  0.0320324]]))
('couldn', array([[ 0.9679436,  0.0320564]]))
('three', array([[ 0.9679369,  0.0320631]]))
('offense', array([[ 0.96793272,  0.03206728]]))
('working', array([[ 0.96791789,  0.03208211]]))
('change', array([[ 0.96791478,  0.03208522]]))
('uh', array([[ 0.96788943,  0.03211057]]))
('himself', array([[ 0.96785963,  0.03214037]]))
('talkpage', array([[ 0.96784742,  0.03215258]]))
('btw', array([[ 0.96782379,  0.03217621]]))
('scientific', array([[ 0.96781104,  0.03218896]]))
('continued', array([[ 0.96780364,  0.03219636]]))
('november', array([[ 0.96777562,  0.03222438]]))
('uploaded', array([[ 0.96775381,  0.03224619]]))
('ie', array([[ 0.96773076,  0.03226924]]))
('went', array([[ 0.96771568,  0.03228432]]))
('data', array([[ 0.96771213,  0.03228787]]))
('include', array([[ 0.96770698,  0.03229302]]))
('professional', array([[ 0.96770324,  0.03229676]]))
('summaries', array([[ 0.96767758,  0.03232242]]))
('west', array([[ 0.96764946,  0.03235054]]))
('young', array([[ 0.96763966,  0.03236034]]))
('2014', array([[ 0.9676293,  0.0323707]]))
('quickly', array([[ 0.96760849,  0.03239151]]))
('paragraph', array([[ 0.96758561,  0.03241439]]))
('parties', array([[ 0.96758176,  0.03241824]]))
('analysis', array([[ 0.96756337,  0.03243663]]))
('michael', array([[ 0.96754222,  0.03245778]]))
('close', array([[ 0.96752598,  0.03247402]]))
('suspected', array([[ 0.96750857,  0.03249143]]))
('months', array([[ 0.9674842,  0.0325158]]))
('television', array([[ 0.96741127,  0.03258873]]))
('find', array([[ 0.9674056,  0.0325944]]))
('present', array([[ 0.96737996,  0.03262004]]))
('policy', array([[ 0.96734812,  0.03265188]]))
('cast', array([[ 0.96728747,  0.03271253]]))
('fair', array([[ 0.96726589,  0.03273411]]))
('denied', array([[ 0.96726566,  0.03273434]]))
('anywhere', array([[ 0.96726141,  0.03273859]]))
('original', array([[ 0.96725111,  0.03274889]]))
('tom', array([[ 0.96724788,  0.03275212]]))
('city', array([[ 0.96723108,  0.03276892]]))
('remember', array([[ 0.96723049,  0.03276951]]))
('pushing', array([[ 0.96722426,  0.03277574]]))
('able', array([[ 0.96719771,  0.03280229]]))
('january', array([[ 0.96718734,  0.03281266]]))
('noticeboard', array([[ 0.96718286,  0.03281714]]))
('per', array([[ 0.96717602,  0.03282398]]))
('yesterday', array([[ 0.9671394,  0.0328606]]))
('canadian', array([[ 0.96711728,  0.03288272]]))
('does', array([[ 0.96711275,  0.03288725]]))
('central', array([[ 0.96708585,  0.03291415]]))
('current', array([[ 0.96700712,  0.03299288]]))
('languages', array([[ 0.96700166,  0.03299834]]))
('links', array([[ 0.96699799,  0.03300201]]))
('december', array([[ 0.96697988,  0.03302012]]))
('requested', array([[ 0.96696255,  0.03303745]]))
('cite', array([[ 0.96694665,  0.03305335]]))
('somewhere', array([[ 0.96694539,  0.03305461]]))
('conclusion', array([[ 0.96690228,  0.03309772]]))
('violated', array([[ 0.96687105,  0.03312895]]))
('plot', array([[ 0.96684499,  0.03315501]]))
('2009', array([[ 0.96683138,  0.03316862]]))
('details', array([[ 0.96680661,  0.03319339]]))
('function', array([[ 0.96677769,  0.03322231]]))
('width', array([[ 0.96674527,  0.03325473]]))
('lists', array([[ 0.96670284,  0.03329716]]))
('trolling', array([[ 0.96669897,  0.03330103]]))
('suggest', array([[ 0.96666898,  0.03333102]]))
('through', array([[ 0.96664316,  0.03335684]]))
('july', array([[ 0.9666059,  0.0333941]]))
('limit', array([[ 0.96657069,  0.03342931]]))
('due', array([[ 0.96655399,  0.03344601]]))
('lived', array([[ 0.96653597,  0.03346403]]))
('upon', array([[ 0.9665192,  0.0334808]]))
('license', array([[ 0.96650824,  0.03349176]]))
('mean', array([[ 0.96650653,  0.03349347]]))
('accusations', array([[ 0.96647843,  0.03352157]]))
('dark', array([[ 0.96644169,  0.03355831]]))
('nowhere', array([[ 0.96643901,  0.03356099]]))
('already', array([[ 0.96643577,  0.03356423]]))
('concerns', array([[ 0.96640674,  0.03359326]]))
('church', array([[ 0.96640028,  0.03359972]]))
('spain', array([[ 0.96638706,  0.03361294]]))
('rs', array([[ 0.96637254,  0.03362746]]))
('only', array([[ 0.96636095,  0.03363905]]))
('mostly', array([[ 0.9663489,  0.0336511]]))
('critics', array([[ 0.96634556,  0.03365444]]))
('unit', array([[ 0.96634315,  0.03365685]]))
('areas', array([[ 0.96631531,  0.03368469]]))
('12', array([[ 0.96630418,  0.03369582]]))
('party', array([[ 0.96629809,  0.03370191]]))
('categories', array([[ 0.96628687,  0.03371313]]))
('fix', array([[ 0.96626261,  0.03373739]]))
('parents', array([[ 0.96625239,  0.03374761]]))
('slightly', array([[ 0.96624599,  0.03375401]]))
('have', array([[ 0.96623462,  0.03376538]]))
('one', array([[ 0.96622926,  0.03377074]]))
('linked', array([[ 0.96622356,  0.03377644]]))
('blocked', array([[ 0.96619904,  0.03380096]]))
('elsewhere', array([[ 0.96618983,  0.03381017]]))
('core', array([[ 0.96615754,  0.03384246]]))
('info', array([[ 0.96614979,  0.03385021]]))
('cleaned', array([[ 0.96613041,  0.03386959]]))
('upset', array([[ 0.96612819,  0.03387181]]))
('expand', array([[ 0.96612565,  0.03387435]]))
('june', array([[ 0.96611685,  0.03388315]]))
('birth', array([[ 0.966081,  0.033919]]))
('canada', array([[ 0.96607706,  0.03392294]]))
('without', array([[ 0.9660628,  0.0339372]]))
('number', array([[ 0.96605155,  0.03394845]]))
('update', array([[ 0.96601002,  0.03398998]]))
('previous', array([[ 0.96600693,  0.03399307]]))
('happy', array([[ 0.96595298,  0.03404702]]))
('bold', array([[ 0.96595107,  0.03404893]]))
('mistakes', array([[ 0.96594679,  0.03405321]]))
('mistaken', array([[ 0.96594281,  0.03405719]]))
('tags', array([[ 0.96593941,  0.03406059]]))
('follow', array([[ 0.96592954,  0.03407046]]))
('arms', array([[ 0.96591285,  0.03408715]]))
('integrity', array([[ 0.96589824,  0.03410176]]))
('widely', array([[ 0.96584762,  0.03415238]]))
('plays', array([[ 0.96583508,  0.03416492]]))
('invalid', array([[ 0.96582402,  0.03417598]]))
('finished', array([[ 0.96581459,  0.03418541]]))
('map', array([[ 0.96577212,  0.03422788]]))
('greetings', array([[ 0.96573094,  0.03426906]]))
('www', array([[ 0.96570841,  0.03429159]]))
('except', array([[ 0.96569737,  0.03430263]]))
('resolved', array([[ 0.96569134,  0.03430866]]))
('judge', array([[ 0.96568842,  0.03431158]]))
('final', array([[ 0.96567965,  0.03432035]]))
('technical', array([[ 0.96567399,  0.03432601]]))
('inclusion', array([[ 0.96566389,  0.03433611]]))
('fall', array([[ 0.96563969,  0.03436031]]))
('impose', array([[ 0.96561252,  0.03438748]]))
('enter', array([[ 0.96560328,  0.03439672]]))
('once', array([[ 0.9655892,  0.0344108]]))
('secondary', array([[ 0.96557674,  0.03442326]]))
